Date,Open,High,Low,Close,Adj Close,Volume
9/1/13,0.02,0.03,0.003,0.005,0.005,0
10/1/13,0.01,0.135,0.005,0.033,0.033,0
11/1/13,0.033,0.083,0.03,0.055,0.055,0
12/1/13,0.055,0.07,0.035,0.063,0.063,0
1/1/14,0.06,0.06,0.007,0.01,0.01,0
2/1/14,0.013,0.083,0.007,0.043,0.043,0
3/1/14,0.04,0.052,0.028,0.028,0.028,0
4/1/14,0.04,0.04,0.003,0.02,0.02,0
5/1/14,0.02,0.03,0.015,0.03,0.03,0
6/1/14,0.03,0.035,0.005,0.02,0.02,0
7/1/14,0.033,0.033,0.003,0.018,0.018,0
8/1/14,0.02,0.03,0.01,0.018,0.018,0
9/1/14,0.025,0.025,0.003,0.013,0.013,0
10/1/14,0.015,0.022,0.003,0.003,0.003,0
11/1/14,0.003,0.025,0.003,0.005,0.005,0
12/1/14,0.005,0.04,0.003,0.037,0.037,0
1/1/15,0.03,0.03,0.003,0.005,0.005,0
2/1/15,0.005,0.02,0.003,0.008,0.008,0
3/1/15,0.01,0.05,0.003,0.025,0.025,0
4/1/15,0.028,0.033,0.003,0.005,0.005,0
5/1/15,0.003,0.015,0.003,0.003,0.003,0
6/1/15,0.008,0.015,0.003,0.01,0.01,0
7/1/15,0.008,0.06,0.003,0.058,0.058,0
8/1/15,0.058,0.103,0.003,0.003,0.003,0
9/1/15,0.063,0.063,0.003,0.005,0.005,0
10/1/15,0.003,0.068,0.003,0.068,0.068,0
11/1/15,0.073,0.175,0.033,0.17,0.17,0
12/1/15,0.21,0.27,0.135,0.148,0.148,0
1/1/16,0.165,0.32,0.153,0.3,0.3,0
2/1/16,0.3,0.343,0.255,0.308,0.308,0
3/1/16,0.318,0.328,0.15,0.193,0.193,0
4/1/16,0.193,0.248,0.183,0.193,0.193,0
5/1/16,0.193,0.348,0.18,0.283,0.283,0
6/1/16,0.33,0.333,0.225,0.248,0.248,0
7/1/16,0.243,0.315,0.215,0.24,0.24,0
8/1/16,0.258,0.328,0.235,0.32,0.32,0
9/1/16,0.32,0.36,0.158,0.26,0.26,0
10/1/16,0.273,0.348,0.268,0.295,0.295,0
11/1/16,0.343,0.51,0.343,0.468,0.468,0
12/1/16,0.47,0.528,0.42,0.48,0.48,0
1/1/17,0.488,0.535,0.473,0.5,0.5,0
2/1/17,0.505,0.538,0.48,0.523,0.523,0
3/1/17,0.625,0.775,0.608,0.738,0.738,0
4/1/17,0.74,0.81,0.738,0.78,0.78,0
5/1/17,0.78,0.955,0.778,0.95,0.95,0
6/1/17,0.953,1.01,0.928,0.993,0.993,0
7/1/17,1,1.173,0.998,1.053,1.053,0
8/1/17,1.058,1.07,0.965,0.978,0.978,0
9/1/17,0.98,1.053,0.97,1.028,1.028,0
10/1/17,1.033,1.123,1.013,1.123,1.123,0
11/1/17,1.123,1.29,1.123,1.238,1.238,0
12/1/17,1.238,1.435,1.23,1.355,1.355,0
1/1/18,1.388,1.443,1.368,1.43,1.43,0
2/1/18,1.425,1.64,1.42,1.618,1.618,0
3/1/18,1.61,1.76,1.588,1.67,1.67,0
4/1/18,1.683,1.835,1.66,1.763,1.763,0
5/1/18,1.823,1.893,1.78,1.87,1.87,0
6/1/18,1.868,1.915,1.853,1.88,1.88,0
7/1/18,1.875,1.995,1.875,1.985,1.985,0
8/1/18,1.98,2.08,1.955,2.055,2.055,0
9/1/18,2.058,2.17,2.058,2.15,2.15,0
10/1/18,2.158,2.29,2.153,2.278,2.278,0
11/1/18,2.278,2.358,2.268,2.308,2.308,0
12/1/18,2.31,2.4,2.288,2.3,2.3,0
1/1/19,2.395,2.403,2.305,2.34,2.34,0
2/1/19,2.34,2.4,2.335,2.383,2.383,0
3/1/19,2.385,2.418,2.328,2.328,2.328,0
4/1/19,2.343,2.39,2.32,2.368,2.368,0
5/1/19,2.37,2.373,2.288,2.293,2.293,0
6/1/19,2.28,2.3,2.035,2.035,2.035,0
7/1/19,2.055,2.208,1.968,2.03,2.03,0
8/1/19,2.023,2.048,1.823,1.933,1.933,0
9/1/19,1.93,1.965,1.7,1.77,1.77,0
10/1/19,1.805,1.805,1.495,1.498,1.498,0
11/1/19,1.495,1.585,1.48,1.54,1.54,0
12/1/19,1.55,2,1.478,1.505,1.505,0
1/1/20,1.51,1.535,1.46,1.51,1.51,0
2/1/20,1.513,1.545,1.23,1.23,1.23,0
3/1/20,1.09,3.39,-0.235,0.03,0.03,0
4/1/20,0.085,0.26,0.04,0.09,0.09,0
5/1/20,0.088,0.14,0.078,0.128,0.128,0
6/1/20,0.13,0.168,0.125,0.135,0.135,0
7/1/20,0.135,0.143,0.083,0.083,0.083,0
8/1/20,0.083,0.103,0.075,0.095,0.095,0
9/1/20,0.1,0.11,0.075,0.085,0.085,0
10/1/20,0.088,0.1,0.08,0.083,0.083,0
11/1/20,0.083,0.095,0.048,0.075,0.075,0
12/1/20,0.08,0.09,0.06,0.065,0.065,0
